iditem,documento,titulo,idCurricula
323,ICT-RH-019-19,Inducción,114
324,PC-006-G,Capacitación,114
325,PC-012-G,Auditorias internas,114
326,PC-018-G,Acciones preventivas,114
327,PC-002-G,Planificación del servicio ,114
328,PC-004-G,Reporte a clientes,114
329,PC-013-G,Procedimientos de calidad ,114
330,ILT/029/MXM,Consolidación y muestreo de harina de pescado,114
331,ICT-006-19,Elaboración de cotizaciones,114
332,NMX-FF-03471-SFI-2003,Industria azucarera - azúcar refinada - especificaciones ,114
333,NMX-FF-03471-SFI-2004,Productos alimenticios no industrializados.cereales. Trigo. (triticum aestivum l y triticum durum desf.).especificaciones y métodos de prueba.,114
334,NMX-FF-03471-SFI-2005,Alimentos para animales - muestreo de alimentos balanceados e ingredientes mayores ,114
335,NMX-FF-03471-SFI-2006,Durum wheat (triticum durum )- specification. ,114
336,INTERNO 39,Buenas prácticas de documentación,114
337,INTERNO 168,Política de calidad,114
338,USDA,U.S. Standards for grains and seeds ,114
339,FOSFA,"Standars for oils, seeds and fats ",114
340,GAFTA,Standards for grains and seeds,114
341,MIGC-ISO 9001 Y 17025,Manual integral del sistema de gestión de calidad,114
342,PC-009-G,Acción correctiva y trabajo de ensayo o servicio no conforme,114
343,PC-019-G,Acciones preventivas,114
344,iLearn,Código de ética,114
345,PC-008-G,Control de documentos ,114
346,PC-023-G,Registros de calidad,114
347,PC-028-G,Mejora continua e innovación,114
348,PC-001-G,Seguridad y confidencialidad,114
349,HS01,Política y procedimientos de los programas de seguridad ,114
350,MSBC-011,Reglas generales de seguridad,114
351,PA 03,PRE ,114
352,PG 02,"Objetivos, Metas y planes",114
353,PG 05,"Política, Aspectos ambientales (significativos) y Requerimientos Legales  ",114
354,HS03,Clasificaciones de Accidentes / Incidentes,114
355,HS03,FR6401B Informe de investigación de accidente/incidente,114
356,HSAP06,Plan de Seguridad contra Incendios (NOM-002-STPS) ,114
357,PA 01,Control de SOAs ,114
358,INTERNO 11,11. Liderazgo,114
359,INTERNO 12,12. Tolerancia a la Frustración,114
360,INTERNO 13,13. Flexibilidad al Cambio,114
361,INTERNO 14,14. Competencias de la Organización,114
362,INTERNO 15,15. Integridad,114
363,INTERNO 16,16. Enfoque Comercial,114
364,INTERNO 17,17. Profesionalismo,114
365,INTERNO 18,18. Responsabilidad,114
366,INTERNO 19,19. Servicio al Cliente,114
367,INTERNO 20,20. Enfoque a Resultados,114
368,INTERNO 1,1. Planeación,114
369,INTERNO 2,2. Organización,114
370,INTERNO 3,3. Dirección,114
371,INTERNO 4,4. Control,114
372,INTERNO 5,5. Auto-Administración y Disciplina,114
373,INTERNO 6,6. Comunicación,114
374,INTERNO 7,7. Creatividad / Innovación,114
375,INTERNO 8,8. Participación e Iniciativa,114
376,INTERNO 9,9. Habilidad de Mando y Autoridad,114
377,INTERNO 10,10. Vitalidad,114
378,ICT-RH-019-19,Inducción,115
379,PC-006-G,Capacitación,115
380,PC-007-C,Muestreo de Productos Sólidos ,115
381,PC-001-C,"Medición de Temperatura, Volumen y Muestreo para el Calculo de Productos Líquidos",115
382,NMX-FF-036-1996,"Productos Alimenticios no industrializados, cereales, trigo (TRITICUMAESTIVUM L Y TRITICUM DURUM DESF.).Especificaciones y Métodos de Prueba",115
383,NMX-Y-111-SCFI-2010,Alimentos para animales - Muestreo de Alimentos balanceados e ingredientes mayores,115
384,ISO 11051,Durum weat (Triticum durum Desf.)- Specification. ,115
385,GRAIN INSPECTION HANDBOOK,WHEAT,115
386,PC-012-G,Auditorias internas,115
387,PC-018-G,Acciones Preventivas,115
388,PC-002-G,Planificación del Servicio ,115
389,PC-004-G,Reporte a clientes,115
390,PC-013-G,Procedimientos de calidad ,115
391,PC-006-C,Determinación de Cantidades por Diferencia de Peso ,115
392,ILT/009/MXM,Consolidación de Contenedores ,115
393,ILT/013/MXM en revision 2015,Inspecciones marinas a descargas de aceites vegetales y grasas animales ,115
394,ILT /023/MXM,Consolidación de carga de polietileno en centro embarcador autorizado ,115
395,ILT/024/MXM,Consolidación y muestreo de harina de pescado en planta Maz Industrial. ,115
396,ILT/025/MXM,Minerales de hierro-Muestreo y procesos de preparación de muestras ,115
397,ILT/026/MXM,Minerales de manganeso-Muestreo-Parte 1:Método de reducción por incrementos,115
398,ILT/027/MXM,Minerales de manganeso-Muestreo-Parte2:Preparación de muestras,115
399,ILT/028/MXM,Minerales de manganeso-Determinación de contenido de humedad.,115
400,ILT/029/MXM,Consolidación y muestreo de harina de pescado. ,115
401,ICT--009-10,Conservación de Muestras por Tiempo Indefinido,115
402,ICT-013-10,H2S en petróleo combustible                           ,115
403,ICT-004-19,Control de files detrabajo,115
404,ICT-005-19,Aignaciòn de còdigos,115
405,ICT-006-19,Elaboracion de cotizaciones,115
406,ICT-011-2012,Inspección de Ferrotolvas y Contenedores a cargar Polietileno,115
407,API MPMS1,Manual de Estándares de Medición de Petróleo Capítulo 1 Vocabulario - Second Edition,115
408,API MPMMS 3.1,Manual of Petroleum Measurement Standards Chapter 3 - Tank Gauging Section 1A - Standard Practice for the Manual Gauging of Petroleum and Petroleum Products - Second Edition,115
409,API MPMS7,Manual of Petroleum Measurement Standards Chapter 7 - Temperature Determination - First Edition,115
410,API MPMS 17.2 SPANISH,Manual de Estándares de Medición de Petróleo Capítulo 17—Mediciones Marítimas Sección 2—Mediciones de cargas a bordo de buque tanques - SEGUNDA EDICIÓN,115
411,API MPMS 8.1,Manual of Petroleum Measurement Standards Chapter 8 - Sampling Section 1 - Standard Practice for Manual Sampling of Petroleum and Petroleum Products - Third Edition,115
412,AOCS C 1-47,SAMPLING OIL,115
413,NMX-FF-03471-SFI-2002,PRODUCTOS ALIMENTICIOS NO INDUSTRIALIZADOS PARA CONSUMO HUMANO - CEREALES – PARTE I: MAÍZ BLANCO PARA PROCESO ALCALINO PARA TORTILLAS DE MAÍZ Y PRODUCTOS DE MAÍZ NIXTAMALIZADO - ESPECIFICACIONES Y MÉTODOS DE PRUEBA ,115
414,NMX-FF-03471-SFI-2003,INDUSTRIA AZUCARERA - AZÚCAR REFINADA - ESPECIFICACIONES ,115
415,NMX-FF-03471-SFI-2004,PRODUCTOS ALIMENTICIOS NO INDUSTRIALIZADOS.CEREALES. TRIGO. (TRITICUM AESTIVUM L Y TRITICUM DURUM DESF.).ESPECIFICACIONES Y MÉTODOS DE PRUEBA.,115
416,NMX-FF-03471-SFI-2005,ALIMENTOS PARA ANIMALES - MUESTREO DE ALIMENTOS BALANCEADOS E INGREDIENTES MAYORES ,115
417,NMX-FF-03471-SFI-2006,DURUM WHEAT (TRITICUM DURUM )- SPECIFICATION. ,115
418,NMX-FF-03471-SFI-2007,WHEAT (TRITICUM AESTIVUM l.) SPECIFICATION,115
419,INTERNO 39,Buenas Prácticas de Documentación,115
420,INTERNO 168,Política de Calidad,115
421,INTERNO 40,Buenas Prácticas de Laboratorio,115
422,INTERNO 135,NOM 17025 Nociones,115
423,USDA,U.S. STANDARDS FOR GRAINS AND SEEDS ,115
424,FOSFA,"STANDARS FOR OILS, SEEDS AND FATS ",115
425,GAFTA,STANDARDS FOR GRAINS AND SEEDS,115
426,MIGC-ISO 9001 Y 17025,Manual Integral del sistema de gestión de Calidad,115
427,PC-009-G,Acción correctiva y trabajo de ensayo o servicio no conforme,115
428,PC-019-G,Acciones preventivas,115
429,iLearn,Código de ética,115
430,PC-008-G,Control de Documentos ,115
431,PC-023-G,Registros de Calidad,115
432,PC-028-G,Mejora Continua e Innovación,115
433,PC-001-G,Seguridad y Confidencialidad,115
434,HS01,Política y Procedimientos de los Programas de seguridad ,115
435,MS.01,Manual del sistema de gestión ambiental,115
436,MSBC-011,Reglas generales de seguridad,115
437,PG 02,"Objetivos, Metas y planes",115
438,PG 05,"Política, Aspectos ambientales y Requerimientos Legales ",115
439,PA 02,Comunicación ,115
440,HS03,Clasificaciones de Accidentes / Incidentes,115
441,HS03,FR6401B Informe de investigación de accidente/incidente,115
442,HSAP06,Plan de Seguridad contra Incendios (NOM-002-STPS) ,115
443,PA 01,Control de SOAs ,115
444,INTERNO 11,11. Liderazgo,115
445,INTERNO 12,12. Tolerancia a la Frustración,115
446,INTERNO 13,13. Flexibilidad al Cambio,115
447,INTERNO 14,14. Competencias de la Organización,115
448,INTERNO 15,15. Integridad,115
449,INTERNO 16,16. Enfoque Comercial,115
450,INTERNO 17,17. Profesionalismo,115
451,INTERNO 18,18. Responsabilidad,115
452,INTERNO 19,19. Servicio al Cliente,115
453,INTERNO 20,20. Enfoque a Resultados,115
454,INTERNO 1,1. Planeación,115
455,INTERNO 2,2. Organización,115
456,INTERNO 3,3. Dirección,115
457,INTERNO 4,4. Control,115
458,INTERNO 5,5. Auto-Administración y Disciplina,115
459,INTERNO 6,6. Comunicación,115
460,INTERNO 7,7. Creatividad / Innovación,115
461,INTERNO 8,8. Participación e Iniciativa,115
462,INTERNO 9,9. Habilidad de Mando y Autoridad,115
463,INTERNO 10,10. Vitalidad,115
464,ICT-RH-019-19,Inducción,116
465,PC-001-G,Seguridad y confidencialidad,116
466,PC-003-C,Determinación de Cantidades por Draft Survey,116
467,PC-007-C,Muestreo de Productos Sólidos ,116
468,PC-011-G,Envío de Muestras,116
469,PC-001-C,"Medición de Temperatura, Volumen y Muestreo para el Calculo de Productos Líquidos",116
470,NMX-FF-036-1996,"Productos Alimenticios no industrializados, cereales, trigo (TRITICUMAESTIVUM L Y TRITICUM DURUM DESF.).Especificaciones y Métodos de Prueba",116
471,NMX-Y-111-SCFI-2010,Alimentos para animales - Muestreo de Alimentos balanceados e ingredientes mayores,116
472,ISO 11051,Durum weat (Triticum durum Desf.)- Specification. ,116
473,GRAIN INSPECTION HANDBOOK,WHEAT,116
474,PC-018-G,Acciones Preventivas,116
475,PC-002-G,Planificación del Servicio ,116
476,PC-004-G,Reporte a clientes,116
477,PC-006-C,Determinación de Cantidades por Diferencia de Peso ,116
478,ILT/009/MXM,Consolidación de Contenedores ,116
479,ILT/013/MXM en revision 2015,Inspecciones marinas a descargas de aceites vegetales y grasas animales ,116
480,ILT /023/MXM,Consolidación de carga de polietileno en centro embarcador autorizado ,116
481,ILT/024/MXM,Consolidación y muestreo de harina de pescado en planta Maz Industrial. ,116
482,ILT/025/MXM,Minerales de hierro-Muestreo y procesos de preparación de muestras ,116
483,ILT/026/MXM,Minerales de manganeso-Muestreo-Parte 1:Método de reducción por incrementos,116
484,ILT/027/MXM,Minerales de manganeso-Muestreo-Parte2:Preparación de muestras,116
485,ILT/028/MXM,Minerales de manganeso-Determinación de contenido de humedad.,116
486,ILT/029/MXM,Consolidación y muestreo de harina de pescado. ,116
487,ICT--009-10,Conservación de Muestras por Tiempo Indefinido,116
488,ICT-013-10,H2S en petróleo combustible                           ,116
